thoi_gian,ten_benh,luot_tim_kiem
2026-04-28 01:00:00,bệnh sởi,0
2026-04-28 02:00:00,bệnh sởi,0
2026-04-28 03:00:00,bệnh sởi,0
2026-04-28 04:00:00,bệnh sởi,0
2026-04-28 05:00:00,bệnh sởi,0
2026-04-28 06:00:00,bệnh sởi,0
2026-04-28 07:00:00,bệnh sởi,0
2026-04-28 08:00:00,bệnh sởi,0
2026-04-28 09:00:00,bệnh sởi,0
2026-04-28 10:00:00,bệnh sởi,0
2026-04-28 11:00:00,bệnh sởi,0
2026-04-28 12:00:00,bệnh sởi,0
2026-04-28 13:00:00,bệnh sởi,89
2026-04-28 14:00:00,bệnh sởi,0
2026-04-28 15:00:00,bệnh sởi,64
2026-04-28 16:00:00,bệnh sởi,0
2026-04-28 17:00:00,bệnh sởi,0
2026-04-28 18:00:00,bệnh sởi,0
2026-04-28 19:00:00,bệnh sởi,0
2026-04-28 20:00:00,bệnh sởi,0
2026-04-28 21:00:00,bệnh sởi,0
2026-04-28 22:00:00,bệnh sởi,0
2026-04-28 23:00:00,bệnh sởi,0
2026-04-29 00:00:00,bệnh sởi,0
2026-04-29 01:00:00,bệnh sởi,0
2026-04-29 02:00:00,bệnh sởi,100
2026-04-29 03:00:00,bệnh sởi,80
2026-04-29 04:00:00,bệnh sởi,0
2026-04-29 05:00:00,bệnh sởi,0
2026-04-29 06:00:00,bệnh sởi,0
2026-04-29 07:00:00,bệnh sởi,0
2026-04-29 08:00:00,bệnh sởi,69
2026-04-29 09:00:00,bệnh sởi,0
2026-04-29 10:00:00,bệnh sởi,0
2026-04-29 11:00:00,bệnh sởi,0
2026-04-29 12:00:00,bệnh sởi,69
2026-04-29 13:00:00,bệnh sởi,0
2026-04-29 14:00:00,bệnh sởi,0
2026-04-29 15:00:00,bệnh sởi,0
2026-04-29 16:00:00,bệnh sởi,0
2026-04-29 17:00:00,bệnh sởi,0
2026-04-29 18:00:00,bệnh sởi,0
2026-04-29 19:00:00,bệnh sởi,0
2026-04-29 20:00:00,bệnh sởi,0
2026-04-29 21:00:00,bệnh sởi,0
